region,fuel_type,year,Value_old
Northeast,COL,2010,2.2968674
Northeast,COL,2015,2.480390404
Northeast,COL,2020,2.377659758
Northeast,COL,2025,2.384429969
Northeast,COL,2030,2.465469566
Northeast,COL,2035,2.503519556
Northeast,COL,2040,2.528050726
Northeast,COL,2045,2.550205881
Northeast,COL,2050,2.571527733
Northeast,COL,2075,2.680841017
Northeast,GAS,2010,5.182980138
Northeast,GAS,2015,6.397244152
Northeast,GAS,2020,6.490726022
Northeast,GAS,2025,6.95834243
Northeast,GAS,2030,7.958670026
Northeast,GAS,2035,8.754182242
Northeast,GAS,2040,9.092164636
Northeast,GAS,2045,9.416882371
Northeast,GAS,2050,9.742598009
Northeast,GAS,2075,11.5481648
Northeast,OIL,2010,14.62835692
Northeast,OIL,2015,18.66406632
Northeast,OIL,2020,21.53070001
Northeast,OIL,2025,22.73249266
Northeast,OIL,2030,24.22982518
Northeast,OIL,2035,26.39950034
Northeast,OIL,2040,27.51742813
Northeast,OIL,2045,28.50805459
Northeast,OIL,2050,29.46410829
Northeast,OIL,2075,34.74736713
Northeast,bio,2010,2.25
Northeast,bio,2015,2.42
Northeast,bio,2020,2.65
Northeast,bio,2025,2.57
Northeast,bio,2030,2.5
Northeast,bio,2035,2.5
Northeast,bio,2040,2.524496683
Northeast,bio,2045,2.546620692
Northeast,bio,2050,2.567912568
Northeast,bio,2075,2.677072175
Northeast,nuc,2010,0.71
Northeast,nuc,2015,0.75
Northeast,nuc,2020,0.76
Northeast,nuc,2025,0.8
Northeast,nuc,2030,0.84
Northeast,nuc,2035,0.88
Northeast,nuc,2040,0.888622833
Northeast,nuc,2045,0.896410483
Northeast,nuc,2050,0.903905224
Northeast,nuc,2075,0.942329406
Midwest,COL,2010,1.939640877
Midwest,COL,2015,2.05439349
Midwest,COL,2020,2.018587188
Midwest,COL,2025,2.03456909
Midwest,COL,2030,2.076103081
Midwest,COL,2035,2.134544058
Midwest,COL,2040,2.163403079
Midwest,COL,2045,2.186869557
Midwest,COL,2050,2.208317037
Midwest,COL,2075,2.318751159
Midwest,GAS,2010,4.433912686
Midwest,GAS,2015,5.708214425
Midwest,GAS,2020,6.043929147
Midwest,GAS,2025,6.363744379
Midwest,GAS,2030,7.325562535
Midwest,GAS,2035,8.079959004
Midwest,GAS,2040,8.472438769
Midwest,GAS,2045,8.82217958
Midwest,GAS,2050,9.161387739
Midwest,GAS,2075,11.06338731
Midwest,OIL,2010,14.62835692
Midwest,OIL,2015,18.66406632
Midwest,OIL,2020,21.53070001
Midwest,OIL,2025,22.73249266
Midwest,OIL,2030,24.22982518
Midwest,OIL,2035,26.39950034
Midwest,OIL,2040,27.51742813
Midwest,OIL,2045,28.50805459
Midwest,OIL,2050,29.46410829
Midwest,OIL,2075,34.74736713
Midwest,bio,2010,2.25
Midwest,bio,2015,2.42
Midwest,bio,2020,2.65
Midwest,bio,2025,2.57
Midwest,bio,2030,2.5
Midwest,bio,2035,2.5
Midwest,bio,2040,2.533799982
Midwest,bio,2045,2.561284163
Midwest,bio,2050,2.586403673
Midwest,bio,2075,2.715745255
Midwest,nuc,2010,0.71
Midwest,nuc,2015,0.75
Midwest,nuc,2020,0.76
Midwest,nuc,2025,0.8
Midwest,nuc,2030,0.84
Midwest,nuc,2035,0.88
Midwest,nuc,2040,0.891897594
Midwest,nuc,2045,0.901572025
Midwest,nuc,2050,0.910414093
Midwest,nuc,2075,0.95594233
South,COL,2010,1.552810646
South,COL,2015,1.699203593
South,COL,2020,1.759339183
South,COL,2025,1.845886015
South,COL,2030,1.926122087
South,COL,2035,2.000690219
South,COL,2040,2.027748098
South,COL,2045,2.049747978
South,COL,2050,2.06985406
South,COL,2075,2.173381772
South,GAS,2010,4.528017802
South,GAS,2015,5.708214425
South,GAS,2020,6.043929147
South,GAS,2025,6.499046624
South,GAS,2030,7.548274885
South,GAS,2035,8.381711411
South,GAS,2040,8.785697018
South,GAS,2045,9.146527161
South,GAS,2050,9.496876939
South,GAS,2075,11.4605041
South,OIL,2010,16.06915082
South,OIL,2015,18.9787402
South,OIL,2020,21.680533
South,OIL,2025,22.77242626
South,OIL,2030,24.22982518
South,OIL,2035,26.39950034
South,OIL,2040,27.51742813
South,OIL,2045,28.50805459
South,OIL,2050,29.46410829
South,OIL,2075,34.74736713
South,bio,2010,2.25
South,bio,2015,2.42
South,bio,2020,2.65
South,bio,2025,2.57
South,bio,2030,2.5
South,bio,2035,2.5
South,bio,2040,2.53381068
South,bio,2045,2.561301044
South,bio,2050,2.586424976
South,bio,2075,2.715789971
South,nuc,2010,0.71
South,nuc,2015,0.75
South,nuc,2020,0.76
South,nuc,2025,0.8
South,nuc,2030,0.84
South,nuc,2035,0.88
South,nuc,2040,0.89190136
South,nuc,2045,0.901577967
South,nuc,2050,0.910421592
South,nuc,2075,0.95595807
West,COL,2010,2.30594826
West,COL,2015,2.175575331
West,COL,2020,2.195296714
West,COL,2025,2.200834854
West,COL,2030,2.253487362
West,COL,2035,2.325156623
West,COL,2040,2.324040501
West,COL,2045,2.331001891
West,COL,2050,2.341145742
West,COL,2075,2.392530999
West,GAS,2010,5.037053853
West,GAS,2015,5.984761907
West,GAS,2020,6.646899308
West,GAS,2025,6.541113207
West,GAS,2030,7.56600909
West,GAS,2035,8.465265628
West,GAS,2040,8.87646146
West,GAS,2045,9.242880258
West,GAS,2050,9.598264137
West,GAS,2075,11.5909638
West,OIL,2010,20.37543465
West,OIL,2015,24.49202264
West,OIL,2020,25.90192793
West,OIL,2025,26.75852068
West,OIL,2030,28.20899945
West,OIL,2035,29.66839201
West,OIL,2040,30.581176
West,OIL,2045,31.48412976
West,OIL,2050,32.398551
West,OIL,2075,37.38479941
West,bio,2010,2.25
West,bio,2015,2.42
West,bio,2020,2.65
West,bio,2025,2.57
West,bio,2030,2.5
West,bio,2035,2.5
West,bio,2040,2.498799949
West,bio,2045,2.506284811
West,bio,2050,2.517191443
West,bio,2075,2.572440685
West,nuc,2010,0.71
West,nuc,2015,0.75
West,nuc,2020,0.76
West,nuc,2025,0.8
West,nuc,2030,0.84
West,nuc,2035,0.88
West,nuc,2040,0.879577582
West,nuc,2045,0.882212253
West,nuc,2050,0.886051388
West,nuc,2075,0.905499121
