"region","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"Midwest","bio_X","existing","bio","yes",2020,3.37574374298703,5.66745155280689,19.13186411807,1.6385,183.810069527312,301.1727989205,320.30466303857,0
"Midwest","col_X1","existing","col","no",2020,96.9849924859949,8.49143006880478,823.541281418382,19.6497,61.5295347801444,1209.0368995694,2032.57818098779,0
"Midwest","col_X2","existing","col","no",2020,269.062355823632,9.55832950377713,2571.7866540248,67.5162,68.0309360690013,4593.19028582191,7164.97693984671,0
"Midwest","col_X3","existing","col","no",2020,18.7216290114253,8.07609016892167,151.197564005371,8.4224,63.8535372167127,537.800031854041,688.997595859412,0
"Midwest","hyd_X","existing","hyd","yes",2020,16.05161842,0,0,4.6291,92.7019605733218,429.126645689964,429.126645689964,0
"Midwest","msw_X","existing","msw","no",2020,0.7134189980001,1.24597062553663,0.8888991152079,0.9757,4.65969378088552,4.54646322201,5.4353623372179,0
"Midwest","ngcc_X1","existing","ngcc","no",2020,146.448751613366,2.2660885935969,331.865845577554,33.5582,12.729548150307,427.180722737631,759.046568315185,0
"Midwest","ngcc_X2","existing","ngcc","no",2020,1.34334573,2.20523771904944,2.96239667352,0.8395,12.572389071475,10.5545206255033,13.5169172990233,0
"Midwest","ngcc_X3","existing","ngcc","no",2020,0.09991700001,2.20523771888615,0.22034073718,0.0303,12.5723890712871,0.38094338886,0.60128412604,0
"Midwest","ngtb_X1","existing","ngtb","no",2020,15.575551482,4.77969096759293,74.4463227337941,13.5322,11.9762390671627,162.064862304659,236.511185038453,0
"Midwest","ngtb_X2","existing","ngtb","no",2020,14.635352411,4.77799107943615,69.9275832641623,22.6286,12.3437054712735,279.320773627259,349.248356891422,0
"Midwest","ngtb_X3","existing","ngtb","no",2020,4.714071438,4.7658504262628,22.4665593722256,18.6036,13.5873491477072,252.773608604286,275.240167976512,0
"Midwest","nuc_X","existing","nuc","yes",2020,192.656534,2.55753988219263,492.72676927,25.4277,131.268985563382,3337.86838421,3830.59515348,0
"Midwest","oth_X","existing","oth","no",2020,0.2631574810001,3.60616806577746,0.948990104253,0.5451,1.88207723166391,1.02592029898,1.974910403233,0
"Midwest","slr_X","existing","slr","yes",2020,4.86681541,0,0,3.8909,20.6962195998201,80.52692084094,80.52692084094,0
"Midwest","stog_X1","existing","stog","no",2020,0.091244,0,0,0.031,0,0,0,0
"Midwest","stog_X2","existing","stog","no",2020,-0.804903,0,0,2.5482,0,0,0,0
"Midwest","wnd_X","existing","wnd","yes",2020,154.22296983,0,0,52.4107,47.6646123611916,2498.13569907871,2498.13569907871,0
"Northeast","bio_X","existing","bio","yes",2020,4.27315167903,5.42427740847209,23.178760115537,1.2591,191.443549207855,241.04657280761,264.225332923147,0
"Northeast","col_X1","existing","col","no",2020,2.96177219906451,3.41793171466145,10.1231351307852,1.5389,55.9042119422794,86.0309917579738,96.154126888759,0
"Northeast","col_X2","existing","col","no",2020,38.1913914932634,8.47337451198005,323.60996325607,18.544,73.5934599779038,1364.71712183025,1688.32708508632,0
"Northeast","col_X3","existing","col","no",2020,4.3432418869364,6.4091953364401,27.8366856467841,13.3362,53.7963729328126,717.439188706575,745.275874353359,0
"Northeast","hyd_X","existing","hyd","yes",2020,38.17307456,0,0,7.4611,92.7079687438206,691.70342559452,691.70342559452,0
"Northeast","msw_X","existing","msw","no",2020,7.539456184018,2.79256838739048,21.0544469976043,1.6511,11.2735591178293,18.613773459448,39.6682204570523,0
"Northeast","ngcc_X1","existing","ngcc","no",2020,242.139856462249,2.26338582928882,548.055919822683,56.924,12.9442254125166,736.837087382095,1284.89300720478,0
"Northeast","ngcc_X2","existing","ngcc","no",2020,0.064870999998,2.19964142082594,0.142692938606,0.469,12.5997843620469,5.9092988658,6.051991804406,0
"Northeast","ngcc_X3","existing","ngcc","no",2020,0.023602000001,2.22214064218193,0.052446963439,0.3399,12.6173566052368,4.28863951012,4.341086473559,0
"Northeast","ngtb_X1","existing","ngtb","no",2020,11.715033838,4.77773779666362,55.9713599570059,6.8705,12.5143095320328,85.9795636398314,141.950923596837,0
"Northeast","ngtb_X2","existing","ngtb","no",2020,1.936848271998,4.78362129184378,9.26514863300046,2.7851,12.6923594919773,35.3494904211059,44.6146390541064,0
"Northeast","ngtb_X3","existing","ngtb","no",2020,0.962316943,4.76643731894764,4.58682338977081,8.9023,12.3347094956503,109.807284343128,114.394107732899,0
"Northeast","nuc_X","existing","nuc","yes",2020,162.293822,2.55753988214659,415.072922391,19.9662,131.268985557091,2620.94281943,3036.015741821,0
"Northeast","oth_X","existing","oth","no",2020,0.767521568,0.535874736773521,0.41129541822,0.7638,8.45803681958628,6.4602485228,6.87154394102,0
"Northeast","slr_X","existing","slr","yes",2020,5.08092652,0,0,3.9457,20.6962195998429,81.6610736751,81.6610736751,0
"Northeast","stog_X1","existing","stog","no",2020,0.000433,0,0,0.031,0,0,0,0
"Northeast","stog_X2","existing","stog","no",2020,-1.617371,0,0,4.9448,0,0,0,0
"Northeast","wnd_X","existing","wnd","yes",2020,11.41142625,0,0,5.2225,48.1113490206491,251.26152026034,251.26152026034,0
"South","bio_X","existing","bio","yes",2020,23.3825231420444,5.80249803798986,135.677044654965,7.7089,209.778550925927,1617.16187123288,1752.83891588785,0
"South","col_X1","existing","col","no",2020,120.581526516672,8.71312666098495,1050.64211351468,29.474,62.5533723366041,1843.69809624907,2894.34020976375,0
"South","col_X2","existing","col","no",2020,294.879543966472,9.40508953675046,2773.36851356081,100.3951,60.6002534344925,6083.96850358122,8857.33701714203,0
"South","col_X3","existing","col","no",2020,32.2098058965766,6.81635757303657,219.553554349168,28.973,57.9464708384313,1678.88309960187,1898.43665395104,0
"South","hyd_X","existing","hyd","yes",2020,53.62167938,0,0,16.9351,92.7079687386038,1570.01872138513,1570.01872138513,0
"South","msw_X","existing","msw","no",2020,4.81582610299108,3.703771430189,17.8367191330168,1.6405,10.212870066943,16.75421334482,34.5909324778368,0
"South","ngcc_X1","existing","ngcc","no",2020,728.069211459508,2.24414345089399,1633.8917526944,160.3174,13.0280219697216,2088.61860932865,3722.51036202305,0
"South","ngcc_X2","existing","ngcc","no",2020,0.09572042000004,2.36201980292905,0.22609352758478,0.6033,18.7595966219605,11.3176646420288,11.5437581696135,0
"South","ngcc_X3","existing","ngcc","no",2020,0.062332999999,2.2055859127281,0.137480786695875,0.1004,16.5043912314741,1.65704087964,1.79452166633587,0
"South","ngtb_X1","existing","ngtb","no",2020,49.091789646,4.77291280162922,234.310831256282,28.5276,12.5544566078626,358.148516326461,592.459347582743,0
"South","ngtb_X2","existing","ngtb","no",2020,20.860642476,4.76968294074441,99.4986505507455,30.8764,12.4277866520511,383.725311783392,483.223962334137,0
"South","ngtb_X3","existing","ngtb","no",2020,5.357821409,4.77310313032283,25.5734341390086,21.3064,15.0876192643666,321.4628510943,347.036285233309,0
"South","nuc_X","existing","nuc","yes",2020,368.075723,2.55753988213996,941.36834122,46.8338,131.26898556171,6147.825416,7089.19375722,0
"South","oth_X","existing","oth","no",2020,0.91396296399938,2.38930320917619,2.1837346429519,1.7743,9.10456177187961,16.154223951846,18.3379585947979,0
"South","slr_X","existing","slr","yes",2020,46.97946661,0.00281749766762624,0.1323645376,28.0893,22.3840727481781,628.7529346454,628.885299183,0
"South","stog_X1","existing","stog","no",2020,0.415573,0,0,0.358,0,0,0,0
"South","stog_X2","existing","stog","no",2020,-2.936607,0,0,9.2379,0,0,0,0
"South","wnd_X","existing","wnd","yes",2020,134.7534157,0,0,45.8593,47.6849622769366,2186.79899054672,2186.79899054672,0
"West","bio_X","existing","bio","yes",2020,5.980825722924,5.33462445952974,31.905459189695,1.4999,157.329848638643,235.9790399731,267.884499162795,0
"West","col_X1","existing","col","no",2020,17.8852230140252,6.56320279714735,117.384345713254,4.1374,78.6605443898966,325.450136358758,442.834482072012,0
"West","col_X2","existing","col","no",2020,114.95254277166,9.4425822273063,1085.44883735934,26.0212,61.8111545848675,1608.40041568375,2693.84925304309,0
"West","col_X3","existing","col","no",2020,8.2968040519979,7.33732256154955,60.8763275594799,6.8216,38.5430513796499,262.92527929142,323.8016068509,0
"West","geo_X","existing","geo","yes",2020,15.975127,0,0,3.748,166.596347383191,624.4031099922,624.4031099922,0
"West","hyd_X","existing","hyd","yes",2020,143.6943634,0,0,50.3621,92.5231495970518,4659.66011232168,4659.66011232168,0
"West","msw_X","existing","msw","no",2020,0.85462237201,3.74317802159357,3.19900367967,0.196,25.0755311371122,4.914804102874,8.113807782544,0
"West","ngcc_X1","existing","ngcc","no",2020,222.769246756835,2.25664296578408,502.710653686832,57.3009,12.9154461591901,740.066688823135,1242.77734250997,0
"West","ngcc_X2","existing","ngcc","no",2020,1.1711189999,2.20842441032111,2.58632778677,0.4756,13.0171849409167,6.1909731579,8.77730094467,0
"West","ngcc_X3","existing","ngcc","no",2020,0.015622,2.20523771924209,0.03445022365,0.0823,12.5723890765492,1.034707621,1.06915784465,0
"West","ngtb_X1","existing","ngtb","no",2020,22.933879873,4.78294595174214,109.691507896306,16.0904,11.5399430570565,185.682299765261,295.373807661567,0
"West","ngtb_X2","existing","ngtb","no",2020,5.590990043,4.77137315748667,26.6766998149455,8.3175,11.0025532754634,91.513736868667,118.190436683612,0
"West","ngtb_X3","existing","ngtb","no",2020,1.434641504,4.77611833199638,6.85201758709726,5.5518,12.3992566605711,68.8381931281588,75.6902107152561,0
"West","nuc_X","existing","nuc","yes",2020,56.618516,2.55753988218271,144.80411274,7.7326,131.268985567597,1015.0505578,1159.85467054,0
"West","oth_X","existing","oth","no",2020,0.992308844,0.465408482119706,0.46182895288,2.6454,0.715269985786648,1.8921752204,2.35400417328,0
"West","slr_X","existing","slr","yes",2020,57.89270802,0.170137768067392,9.8497361299,26.0274,22.9542816200005,597.4402694364,607.2900055663,0
"West","stog_X1","existing","stog","no",2020,0.303328,0,0,2.5939,0,0,0,0
"West","stog_X2","existing","stog","no",2020,-0.563381,0,0,1.7927,0,0,0,0
"West","wnd_X","existing","wnd","yes",2020,77.71325141,0,0,29.2913,47.6646123617965,1396.15846007309,1396.15846007309,0
"Midwest","stog_X3","existing","stog","no",2020,NA,NA,NA,1e-06,NA,NA,NA,NA
"Midwest","lfg_X","existing","lfg","no",2020,NA,NA,NA,1e-06,NA,NA,NA,NA
"Northeast","stog_X3","existing","stog","no",2020,NA,NA,NA,1e-06,NA,NA,NA,NA
"Northeast","lfg_X","existing","lfg","no",2020,NA,NA,NA,1e-06,NA,NA,NA,NA
"South","stog_X3","existing","stog","no",2020,NA,NA,NA,1e-06,NA,NA,NA,NA
"South","lfg_X","existing","lfg","no",2020,NA,NA,NA,1e-06,NA,NA,NA,NA
"West","stog_X3","existing","stog","no",2020,NA,NA,NA,1e-06,NA,NA,NA,NA
"West","lfg_X","existing","lfg","no",2020,NA,NA,NA,1e-06,NA,NA,NA,NA
