"state","plant_type","pollutant","Value"
"SC","col_X2ccs","CO2",92.4
"VA","col_X2ccs","CO2",92.4
"WV","col_X2ccs","CO2",92.4
"DC","col_X3ccs","CO2",92.4
"DE","col_X3ccs","CO2",92.4
"GA","col_X3ccs","CO2",92.4
"MD","col_X3ccs","CO2",92.4
"NC","col_X3ccs","CO2",92.4
"SC","col_X3ccs","CO2",92.4
"VA","col_X3ccs","CO2",92.4
"WV","col_X3ccs","CO2",92.4
"DC","ngcc_X1","CO2",53.05666667
"DE","ngcc_X1","CO2",53.05666667
"GA","ngcc_X1","CO2",53.05666667
"MD","ngcc_X1","CO2",53.05666667
"NC","ngcc_X1","CO2",53.05666667
"SC","ngcc_X1","CO2",53.05666667
"VA","ngcc_X1","CO2",53.05666667
"WV","ngcc_X1","CO2",53.05666667
"DC","ngcc_X2","CO2",53.05666667
"DE","ngcc_X2","CO2",53.05666667
"GA","ngcc_X2","CO2",53.05666667
"MD","ngcc_X2","CO2",53.05666667
"NC","ngcc_X2","CO2",53.05666667
"SC","ngcc_X2","CO2",53.05666667
"VA","ngcc_X2","CO2",53.05666667
"WV","ngcc_X2","CO2",53.05666667
"DC","ngcc_X3","CO2",53.05666667
"DE","ngcc_X3","CO2",53.05666667
"GA","ngcc_X3","CO2",53.05666667
"MD","ngcc_X3","CO2",53.05666667
"NC","ngcc_X3","CO2",53.05666667
"SC","ngcc_X3","CO2",53.05666667
"VA","ngcc_X3","CO2",53.05666667
"WV","ngcc_X3","CO2",53.05666667
"DC","ngtb_X1","CO2",53.05666667
"DE","ngtb_X1","CO2",53.05666667
"GA","ngtb_X1","CO2",53.05666667
"MD","ngtb_X1","CO2",53.05666667
"NC","ngtb_X1","CO2",53.05666667
"SC","ngtb_X1","CO2",53.05666667
"VA","ngtb_X1","CO2",53.05666667
"WV","ngtb_X1","CO2",53.05666667
"DC","ngtb_X2","CO2",53.05666667
"DE","ngtb_X2","CO2",53.05666667
"GA","ngtb_X2","CO2",53.05666667
"MD","ngtb_X2","CO2",53.05666667
"NC","ngtb_X2","CO2",53.05666667
"SC","ngtb_X2","CO2",53.05666667
"VA","ngtb_X2","CO2",53.05666667
"WV","ngtb_X2","CO2",53.05666667
"DC","ngtb_X3","CO2",53.05666667
"DE","ngtb_X3","CO2",53.05666667
"GA","ngtb_X3","CO2",53.05666667
"MD","ngtb_X3","CO2",53.05666667
"NC","ngtb_X3","CO2",53.05666667
"SC","ngtb_X3","CO2",53.05666667
"VA","ngtb_X3","CO2",53.05666667
"WV","ngtb_X3","CO2",53.05666667
"DC","stog_X1","CO2",76.89
"DE","stog_X1","CO2",76.89
"GA","stog_X1","CO2",76.89
"MD","stog_X1","CO2",76.89
"NC","stog_X1","CO2",76.89
"SC","stog_X1","CO2",76.89
"VA","stog_X1","CO2",76.89
"WV","stog_X1","CO2",76.89
"DC","stog_X2","CO2",76.89
"DE","stog_X2","CO2",76.89
"GA","stog_X2","CO2",76.89
"MD","stog_X2","CO2",76.89
"NC","stog_X2","CO2",76.89
"SC","stog_X2","CO2",76.89
"VA","stog_X2","CO2",76.89
"WV","stog_X2","CO2",76.89
"DC","stog_X3","CO2",76.89
"DE","stog_X3","CO2",76.89
"GA","stog_X3","CO2",76.89
"MD","stog_X3","CO2",76.89
"NC","stog_X3","CO2",76.89
"SC","stog_X3","CO2",76.89
"VA","stog_X3","CO2",76.89
"WV","stog_X3","CO2",76.89
"DC","col_N","CO2",92.4
"DE","col_N","CO2",92.4
"GA","col_N","CO2",92.4
"MD","col_N","CO2",92.4
"NC","col_N","CO2",92.4
"SC","col_N","CO2",92.4
"VA","col_N","CO2",92.4
"WV","col_N","CO2",92.4
"DC","col_Nccs","CO2",9.24
"DE","col_Nccs","CO2",9.24
"GA","col_Nccs","CO2",9.24
"MD","col_Nccs","CO2",9.24
"NC","col_Nccs","CO2",9.24
"SC","col_Nccs","CO2",9.24
"VA","col_Nccs","CO2",9.24
"WV","col_Nccs","CO2",9.24
"DC","ngcc_N","CO2",53.05666667
"DE","ngcc_N","CO2",53.05666667
"GA","ngcc_N","CO2",53.05666667
"MD","ngcc_N","CO2",53.05666667
"NC","ngcc_N","CO2",53.05666667
"SC","ngcc_N","CO2",53.05666667
"VA","ngcc_N","CO2",53.05666667
"WV","ngcc_N","CO2",53.05666667
"DC","ngcc_Nccs","CO2",5.305666667
"DE","ngcc_Nccs","CO2",5.305666667
"GA","ngcc_Nccs","CO2",5.305666667
"MD","ngcc_Nccs","CO2",5.305666667
"NC","ngcc_Nccs","CO2",5.305666667
"SC","ngcc_Nccs","CO2",5.305666667
"VA","ngcc_Nccs","CO2",5.305666667
"WV","ngcc_Nccs","CO2",5.305666667
"DC","ngtb_N","CO2",53.05666667
"DE","ngtb_N","CO2",53.05666667
"GA","ngtb_N","CO2",53.05666667
"MD","ngtb_N","CO2",53.05666667
"NC","ngtb_N","CO2",53.05666667
"SC","ngtb_N","CO2",53.05666667
"VA","ngtb_N","CO2",53.05666667
"WV","ngtb_N","CO2",53.05666667
"AL","col_X1","CO2",92.4
"KY","col_X1","CO2",92.4
"MS","col_X1","CO2",92.4
"TN","col_X1","CO2",92.4
"AL","col_X2","CO2",92.4
"KY","col_X2","CO2",92.4
"MS","col_X2","CO2",92.4
"TN","col_X2","CO2",92.4
"AL","col_X3","CO2",92.4
"KY","col_X3","CO2",92.4
"MS","col_X3","CO2",92.4
"TN","col_X3","CO2",92.4
"AL","col_X1bio","CO2",92.4
"KY","col_X1bio","CO2",92.4
"MS","col_X1bio","CO2",92.4
"TN","col_X1bio","CO2",92.4
"AL","col_X2bio","CO2",92.4
"KY","col_X2bio","CO2",92.4
"MS","col_X2bio","CO2",92.4
"TN","col_X2bio","CO2",92.4
"AL","col_X3bio","CO2",92.4
"KY","col_X3bio","CO2",92.4
"MS","col_X3bio","CO2",92.4
"TN","col_X3bio","CO2",92.4
"AL","col_X1ccs","CO2",92.4
"KY","col_X1ccs","CO2",92.4
"MS","col_X1ccs","CO2",92.4
"TN","col_X1ccs","CO2",92.4
"AL","col_X2ccs","CO2",92.4
"KY","col_X2ccs","CO2",92.4
"MS","col_X2ccs","CO2",92.4
"TN","col_X2ccs","CO2",92.4
"AL","col_X3ccs","CO2",92.4
"KY","col_X3ccs","CO2",92.4
"MS","col_X3ccs","CO2",92.4
"TN","col_X3ccs","CO2",92.4
"AL","ngcc_X1","CO2",53.05666667
"KY","ngcc_X1","CO2",53.05666667
"MS","ngcc_X1","CO2",53.05666667
"TN","ngcc_X1","CO2",53.05666667
"AL","ngcc_X2","CO2",53.05666667
"KY","ngcc_X2","CO2",53.05666667
"MS","ngcc_X2","CO2",53.05666667
"TN","ngcc_X2","CO2",53.05666667
"AL","ngcc_X3","CO2",53.05666667
"KY","ngcc_X3","CO2",53.05666667
"MS","ngcc_X3","CO2",53.05666667
"TN","ngcc_X3","CO2",53.05666667
"AL","ngtb_X1","CO2",53.05666667
"KY","ngtb_X1","CO2",53.05666667
"MS","ngtb_X1","CO2",53.05666667
"TN","ngtb_X1","CO2",53.05666667
"AL","ngtb_X2","CO2",53.05666667
"KY","ngtb_X2","CO2",53.05666667
"MS","ngtb_X2","CO2",53.05666667
"TN","ngtb_X2","CO2",53.05666667
"AL","ngtb_X3","CO2",53.05666667
"KY","ngtb_X3","CO2",53.05666667
"MS","ngtb_X3","CO2",53.05666667
"TN","ngtb_X3","CO2",53.05666667
"AL","stog_X1","CO2",76.89
"KY","stog_X1","CO2",76.89
"MS","stog_X1","CO2",76.89
"TN","stog_X1","CO2",76.89
"AL","stog_X2","CO2",76.89
"KY","stog_X2","CO2",76.89
"MS","stog_X2","CO2",76.89
"TN","stog_X2","CO2",76.89
"AL","stog_X3","CO2",76.89
"KY","stog_X3","CO2",76.89
"MS","stog_X3","CO2",76.89
"TN","stog_X3","CO2",76.89
"AL","col_N","CO2",92.4
"KY","col_N","CO2",92.4
"MS","col_N","CO2",92.4
"TN","col_N","CO2",92.4
"AL","col_Nccs","CO2",9.24
"KY","col_Nccs","CO2",9.24
"MS","col_Nccs","CO2",9.24
"TN","col_Nccs","CO2",9.24
"AL","ngcc_N","CO2",53.05666667
"KY","ngcc_N","CO2",53.05666667
"MS","ngcc_N","CO2",53.05666667
"TN","ngcc_N","CO2",53.05666667
"AL","ngcc_Nccs","CO2",5.305666667
"KY","ngcc_Nccs","CO2",5.305666667
"MS","ngcc_Nccs","CO2",5.305666667
"TN","ngcc_Nccs","CO2",5.305666667
"AL","ngtb_N","CO2",53.05666667
"KY","ngtb_N","CO2",53.05666667
"MS","ngtb_N","CO2",53.05666667
"TN","ngtb_N","CO2",53.05666667
"TX","col_X1","CO2",92.4
"TX","col_X2","CO2",92.4
"TX","col_X3","CO2",92.4
"TX","col_X1bio","CO2",92.4
"TX","col_X2bio","CO2",92.4
"TX","col_X3bio","CO2",92.4
"TX","col_X1ccs","CO2",92.4
"TX","col_X2ccs","CO2",92.4
"TX","col_X3ccs","CO2",92.4
"TX","ngcc_X1","CO2",53.05666667
"TX","ngcc_X2","CO2",53.05666667
"TX","ngcc_X3","CO2",53.05666667
"TX","ngtb_X1","CO2",53.05666667
"TX","ngtb_X2","CO2",53.05666667
"TX","ngtb_X3","CO2",53.05666667
"TX","stog_X1","CO2",76.89
"TX","stog_X2","CO2",76.89
"TX","stog_X3","CO2",76.89
"TX","col_N","CO2",92.4
"TX","col_Nccs","CO2",9.24
"TX","ngcc_N","CO2",53.05666667
"TX","ngcc_Nccs","CO2",5.305666667
"TX","ngtb_N","CO2",53.05666667
"AR","col_X1","CO2",92.4
"LA","col_X1","CO2",92.4
"OK","col_X1","CO2",92.4
"AR","col_X2","CO2",92.4
"LA","col_X2","CO2",92.4
"OK","col_X2","CO2",92.4
"AR","col_X3","CO2",92.4
"LA","col_X3","CO2",92.4
"OK","col_X3","CO2",92.4
"AR","col_X1bio","CO2",92.4
"LA","col_X1bio","CO2",92.4
"OK","col_X1bio","CO2",92.4
"AR","col_X2bio","CO2",92.4
"LA","col_X2bio","CO2",92.4
"OK","col_X2bio","CO2",92.4
"AR","col_X3bio","CO2",92.4
"LA","col_X3bio","CO2",92.4
"OK","col_X3bio","CO2",92.4
"AR","col_X1ccs","CO2",92.4
"LA","col_X1ccs","CO2",92.4
"OK","col_X1ccs","CO2",92.4
"AR","col_X2ccs","CO2",92.4
"LA","col_X2ccs","CO2",92.4
"OK","col_X2ccs","CO2",92.4
"AR","col_X3ccs","CO2",92.4
"LA","col_X3ccs","CO2",92.4
"OK","col_X3ccs","CO2",92.4
"AR","ngcc_X1","CO2",53.05666667
"LA","ngcc_X1","CO2",53.05666667
"OK","ngcc_X1","CO2",53.05666667
"AR","ngcc_X2","CO2",53.05666667
"LA","ngcc_X2","CO2",53.05666667
"OK","ngcc_X2","CO2",53.05666667
"AR","ngcc_X3","CO2",53.05666667
"LA","ngcc_X3","CO2",53.05666667
"OK","ngcc_X3","CO2",53.05666667
"AR","ngtb_X1","CO2",53.05666667
"LA","ngtb_X1","CO2",53.05666667
"OK","ngtb_X1","CO2",53.05666667
"AR","ngtb_X2","CO2",53.05666667
"LA","ngtb_X2","CO2",53.05666667
"OK","ngtb_X2","CO2",53.05666667
"AR","ngtb_X3","CO2",53.05666667
"LA","ngtb_X3","CO2",53.05666667
"OK","ngtb_X3","CO2",53.05666667
"AR","stog_X1","CO2",76.89
"LA","stog_X1","CO2",76.89
"OK","stog_X1","CO2",76.89
"AR","stog_X2","CO2",76.89
"LA","stog_X2","CO2",76.89
"OK","stog_X2","CO2",76.89
"AR","stog_X3","CO2",76.89
"LA","stog_X3","CO2",76.89
"OK","stog_X3","CO2",76.89
"AR","col_N","CO2",92.4
"LA","col_N","CO2",92.4
"OK","col_N","CO2",92.4
"AR","col_Nccs","CO2",9.24
"LA","col_Nccs","CO2",9.24
"OK","col_Nccs","CO2",9.24
"AR","ngcc_N","CO2",53.05666667
"LA","ngcc_N","CO2",53.05666667
"OK","ngcc_N","CO2",53.05666667
"AR","ngcc_Nccs","CO2",5.305666667
"LA","ngcc_Nccs","CO2",5.305666667
"OK","ngcc_Nccs","CO2",5.305666667
"AR","ngtb_N","CO2",53.05666667
"LA","ngtb_N","CO2",53.05666667
"OK","ngtb_N","CO2",53.05666667
"AZ","col_X1","CO2",92.4
"CO","col_X1","CO2",92.4
"ID","col_X1","CO2",92.4
"MT","col_X1","CO2",92.4
"NM","col_X1","CO2",92.4
"NV","col_X1","CO2",92.4
"UT","col_X1","CO2",92.4
"WY","col_X1","CO2",92.4
"AZ","col_X2","CO2",92.4
"CO","col_X2","CO2",92.4
"ID","col_X2","CO2",92.4
"MT","col_X2","CO2",92.4
"NM","col_X2","CO2",92.4
"NV","col_X2","CO2",92.4
"UT","col_X2","CO2",92.4
"WY","col_X2","CO2",92.4
"AZ","col_X3","CO2",92.4
"CO","col_X3","CO2",92.4
"ID","col_X3","CO2",92.4
"MT","col_X3","CO2",92.4
"NM","col_X3","CO2",92.4
"NV","col_X3","CO2",92.4
"UT","col_X3","CO2",92.4
"WY","col_X3","CO2",92.4
"AZ","col_X1bio","CO2",92.4
"CO","col_X1bio","CO2",92.4
"ID","col_X1bio","CO2",92.4
"MT","col_X1bio","CO2",92.4
"NM","col_X1bio","CO2",92.4
"NV","col_X1bio","CO2",92.4
"UT","col_X1bio","CO2",92.4
"WY","col_X1bio","CO2",92.4
"AZ","col_X2bio","CO2",92.4
"CO","col_X2bio","CO2",92.4
"ID","col_X2bio","CO2",92.4
"MT","col_X2bio","CO2",92.4
"NM","col_X2bio","CO2",92.4
"NV","col_X2bio","CO2",92.4
"UT","col_X2bio","CO2",92.4
"WY","col_X2bio","CO2",92.4
"AZ","col_X3bio","CO2",92.4
"CO","col_X3bio","CO2",92.4
"ID","col_X3bio","CO2",92.4
"MT","col_X3bio","CO2",92.4
"NM","col_X3bio","CO2",92.4
"NV","col_X3bio","CO2",92.4
"UT","col_X3bio","CO2",92.4
"WY","col_X3bio","CO2",92.4
"AZ","col_X1ccs","CO2",92.4
"CO","col_X1ccs","CO2",92.4
"ID","col_X1ccs","CO2",92.4
"MT","col_X1ccs","CO2",92.4
"NM","col_X1ccs","CO2",92.4
"NV","col_X1ccs","CO2",92.4
"UT","col_X1ccs","CO2",92.4
"WY","col_X1ccs","CO2",92.4
"AZ","col_X2ccs","CO2",92.4
"CO","col_X2ccs","CO2",92.4
"ID","col_X2ccs","CO2",92.4
"MT","col_X2ccs","CO2",92.4
"NM","col_X2ccs","CO2",92.4
"NV","col_X2ccs","CO2",92.4
"UT","col_X2ccs","CO2",92.4
"WY","col_X2ccs","CO2",92.4
"AZ","col_X3ccs","CO2",92.4
"CO","col_X3ccs","CO2",92.4
"ID","col_X3ccs","CO2",92.4
"MT","col_X3ccs","CO2",92.4
"NM","col_X3ccs","CO2",92.4
"NV","col_X3ccs","CO2",92.4
"UT","col_X3ccs","CO2",92.4
"WY","col_X3ccs","CO2",92.4
"AZ","ngcc_X1","CO2",53.05666667
"CO","ngcc_X1","CO2",53.05666667
"ID","ngcc_X1","CO2",53.05666667
"MT","ngcc_X1","CO2",53.05666667
"NM","ngcc_X1","CO2",53.05666667
"NV","ngcc_X1","CO2",53.05666667
"UT","ngcc_X1","CO2",53.05666667
"WY","ngcc_X1","CO2",53.05666667
"AZ","ngcc_X2","CO2",53.05666667
"CO","ngcc_X2","CO2",53.05666667
"ID","ngcc_X2","CO2",53.05666667
"MT","ngcc_X2","CO2",53.05666667
"NM","ngcc_X2","CO2",53.05666667
"NV","ngcc_X2","CO2",53.05666667
"UT","ngcc_X2","CO2",53.05666667
"WY","ngcc_X2","CO2",53.05666667
"AZ","ngcc_X3","CO2",53.05666667
"CO","ngcc_X3","CO2",53.05666667
"ID","ngcc_X3","CO2",53.05666667
"MT","ngcc_X3","CO2",53.05666667
"NM","ngcc_X3","CO2",53.05666667
"NV","ngcc_X3","CO2",53.05666667
"UT","ngcc_X3","CO2",53.05666667
"WY","ngcc_X3","CO2",53.05666667
"AZ","ngtb_X1","CO2",53.05666667
"CO","ngtb_X1","CO2",53.05666667
"ID","ngtb_X1","CO2",53.05666667
"MT","ngtb_X1","CO2",53.05666667
"NM","ngtb_X1","CO2",53.05666667
"NV","ngtb_X1","CO2",53.05666667
"UT","ngtb_X1","CO2",53.05666667
"WY","ngtb_X1","CO2",53.05666667
"AZ","ngtb_X2","CO2",53.05666667
"CO","ngtb_X2","CO2",53.05666667
"ID","ngtb_X2","CO2",53.05666667
"MT","ngtb_X2","CO2",53.05666667
"NM","ngtb_X2","CO2",53.05666667
"NV","ngtb_X2","CO2",53.05666667
"UT","ngtb_X2","CO2",53.05666667
"WY","ngtb_X2","CO2",53.05666667
"AZ","ngtb_X3","CO2",53.05666667
"CO","ngtb_X3","CO2",53.05666667
"ID","ngtb_X3","CO2",53.05666667
"MT","ngtb_X3","CO2",53.05666667
"NM","ngtb_X3","CO2",53.05666667
"NV","ngtb_X3","CO2",53.05666667
"UT","ngtb_X3","CO2",53.05666667
"WY","ngtb_X3","CO2",53.05666667
"AZ","stog_X1","CO2",76.89
"CO","stog_X1","CO2",76.89
"ID","stog_X1","CO2",76.89
"MT","stog_X1","CO2",76.89
"NM","stog_X1","CO2",76.89
"NV","stog_X1","CO2",76.89
"UT","stog_X1","CO2",76.89
"WY","stog_X1","CO2",76.89
"AZ","stog_X2","CO2",76.89
"CO","stog_X2","CO2",76.89
"ID","stog_X2","CO2",76.89
"MT","stog_X2","CO2",76.89
"NM","stog_X2","CO2",76.89
"NV","stog_X2","CO2",76.89
"UT","stog_X2","CO2",76.89
"WY","stog_X2","CO2",76.89
"AZ","stog_X3","CO2",76.89
"CO","stog_X3","CO2",76.89
"ID","stog_X3","CO2",76.89
"MT","stog_X3","CO2",76.89
"NM","stog_X3","CO2",76.89
"NV","stog_X3","CO2",76.89
"UT","stog_X3","CO2",76.89
"WY","stog_X3","CO2",76.89
"AZ","col_N","CO2",92.4
"CO","col_N","CO2",92.4
"ID","col_N","CO2",92.4
"MT","col_N","CO2",92.4
"NM","col_N","CO2",92.4
"NV","col_N","CO2",92.4
"UT","col_N","CO2",92.4
"WY","col_N","CO2",92.4
"AZ","col_Nccs","CO2",9.24
"CO","col_Nccs","CO2",9.24
"ID","col_Nccs","CO2",9.24
"MT","col_Nccs","CO2",9.24
"NM","col_Nccs","CO2",9.24
"NV","col_Nccs","CO2",9.24
"UT","col_Nccs","CO2",9.24
"WY","col_Nccs","CO2",9.24
"AZ","ngcc_N","CO2",53.05666667
"CO","ngcc_N","CO2",53.05666667
"ID","ngcc_N","CO2",53.05666667
"MT","ngcc_N","CO2",53.05666667
"NM","ngcc_N","CO2",53.05666667
"NV","ngcc_N","CO2",53.05666667
"UT","ngcc_N","CO2",53.05666667
"WY","ngcc_N","CO2",53.05666667
"AZ","ngcc_Nccs","CO2",5.305666667
"CO","ngcc_Nccs","CO2",5.305666667
"ID","ngcc_Nccs","CO2",5.305666667
"MT","ngcc_Nccs","CO2",5.305666667
"NM","ngcc_Nccs","CO2",5.305666667
"NV","ngcc_Nccs","CO2",5.305666667
"UT","ngcc_Nccs","CO2",5.305666667
"WY","ngcc_Nccs","CO2",5.305666667
"AZ","ngtb_N","CO2",53.05666667
"CO","ngtb_N","CO2",53.05666667
"ID","ngtb_N","CO2",53.05666667
"MT","ngtb_N","CO2",53.05666667
"NM","ngtb_N","CO2",53.05666667
"NV","ngtb_N","CO2",53.05666667
"UT","ngtb_N","CO2",53.05666667
"WY","ngtb_N","CO2",53.05666667
"CA","col_X1","CO2",92.4
"CA","col_X2","CO2",92.4
"CA","col_X3","CO2",92.4
"CA","col_X1bio","CO2",92.4
"CA","col_X2bio","CO2",92.4
"CA","col_X3bio","CO2",92.4
"CA","col_X1ccs","CO2",92.4
"CA","col_X2ccs","CO2",92.4
"CA","col_X3ccs","CO2",92.4
"CA","ngcc_X1","CO2",53.05666667
"CA","ngcc_X2","CO2",53.05666667
"CA","ngcc_X3","CO2",53.05666667
"CA","ngtb_X1","CO2",53.05666667
"CA","ngtb_X2","CO2",53.05666667
"CA","ngtb_X3","CO2",53.05666667
"CA","stog_X1","CO2",76.89
"CA","stog_X2","CO2",76.89
"CA","stog_X3","CO2",76.89
"CA","col_N","CO2",92.4
"CA","col_Nccs","CO2",9.24
"CA","ngcc_N","CO2",53.05666667
"CA","ngcc_Nccs","CO2",5.305666667
"CA","ngtb_N","CO2",53.05666667
"OR","col_X1","CO2",92.4
"WA","col_X1","CO2",92.4
"OR","col_X2","CO2",92.4
"WA","col_X2","CO2",92.4
"OR","col_X3","CO2",92.4
"WA","col_X3","CO2",92.4
"OR","col_X1bio","CO2",92.4
"WA","col_X1bio","CO2",92.4
"OR","col_X2bio","CO2",92.4
"WA","col_X2bio","CO2",92.4
"OR","col_X3bio","CO2",92.4
"WA","col_X3bio","CO2",92.4
"OR","col_X1ccs","CO2",92.4
"WA","col_X1ccs","CO2",92.4
"OR","col_X2ccs","CO2",92.4
"WA","col_X2ccs","CO2",92.4
"OR","col_X3ccs","CO2",92.4
"WA","col_X3ccs","CO2",92.4
"OR","ngcc_X1","CO2",53.05666667
"WA","ngcc_X1","CO2",53.05666667
"OR","ngcc_X2","CO2",53.05666667
"WA","ngcc_X2","CO2",53.05666667
"OR","ngcc_X3","CO2",53.05666667
"WA","ngcc_X3","CO2",53.05666667
"OR","ngtb_X1","CO2",53.05666667
"WA","ngtb_X1","CO2",53.05666667
"OR","ngtb_X2","CO2",53.05666667
"WA","ngtb_X2","CO2",53.05666667
"OR","ngtb_X3","CO2",53.05666667
"WA","ngtb_X3","CO2",53.05666667
"OR","stog_X1","CO2",76.89
"WA","stog_X1","CO2",76.89
"OR","stog_X2","CO2",76.89
"WA","stog_X2","CO2",76.89
"OR","stog_X3","CO2",76.89
"WA","stog_X3","CO2",76.89
"OR","col_N","CO2",92.4
"WA","col_N","CO2",92.4
"OR","col_Nccs","CO2",9.24
"WA","col_Nccs","CO2",9.24
"OR","ngcc_N","CO2",53.05666667
"WA","ngcc_N","CO2",53.05666667
"OR","ngcc_Nccs","CO2",5.305666667
"WA","ngcc_Nccs","CO2",5.305666667
"OR","ngtb_N","CO2",53.05666667
"WA","ngtb_N","CO2",53.05666667
