"state","plant_type_full","year","Value"
"AL","bio_X",2020,6584.25596516667
"AL","col_X1",2020,6447.57153984615
"AL","col_X2",2020,11280.45364
"AL","col_X3",2020,12051.04245
"AL","hyd_X",2020,8903.98855490909
"AL","ngcc_X1",2020,6408.34115126667
"AL","ngtb_X1",2020,9452.9507612
"AL","ngtb_X2",2020,12102.61473
"AL","ngtb_X3",2020,19290.788216
"AL","nuc_X",2020,10441.60876
"AL","slr_X",2020,8904.03798666667
"AR","bio_X",2020,6788.9547308
"AR","col_X1",2020,6843.620556
"AR","col_X2",2020,10578.80966
"AR","col_X3",2020,12834.69356
"AR","hyd_X",2020,8903.99187627778
"AR","msw_X",2020,4477.652141
"AR","ngcc_X1",2020,7533.49641814286
"AR","ngtb_X1",2020,8710.085773
"AR","ngtb_X2",2020,11796.100075
"AR","ngtb_X3",2020,13964.28571
"AR","nuc_X",2020,10450.67358
"AR","slr_X",2020,8904.27043614286
"AR","stog_X1",2020,0
"AZ","bio_X",2020,17017.06208
"AZ","col_X2",2020,10989.7484266667
"AZ","col_X3",2020,29688.57961
"AZ","hyd_X",2020,9008.983904
"AZ","ngcc_X1",2020,7069.20050916667
"AZ","ngtb_X1",2020,10375.678515
"AZ","ngtb_X2",2020,12005.9535966667
"AZ","ngtb_X3",2020,22262.5078814286
"AZ","nuc_X",2020,10441.60882
"AZ","slr_X",2020,8904.01315348148
"AZ","stog_X1",2020,0
"AZ","wnd_X",2020,8904.0108444
"CA","bio_X",2020,15665.1752796957
"CA","col_X1",2020,7006.28290627273
"CA","col_X3",2020,18943.39475
"CA","geo_X",2020,8904.00093770968
"CA","hyd_X",2020,8904.54340826027
"CA","msw_X",2020,19509.069885
"CA","ngcc_X1",2020,7451.44110463636
"CA","ngcc_X2",2020,11155.409565
"CA","ngcc_X3",2020,13664.631365
"CA","ngtb_X1",2020,7739.25276644444
"CA","ngtb_X2",2020,11829.0905539216
"CA","ngtb_X3",2020,16013.1392695652
"CA","nuc_X",2020,10444.55925
"CA","oth_X",2020,8808.91337532911
"CA","slr_X",2020,8904.0019645282
"CA","stog_X1",2020,0
"CA","wnd_X",2020,8904.02735798305
"CO","bio_X",2020,14310.43286
"CO","col_X1",2020,6560.22177666667
"CO","col_X2",2020,10866.4763222222
"CO","col_X3",2020,16025.20063
"CO","hyd_X",2020,8904.01251773913
"CO","ngcc_X1",2020,8244.2497895
"CO","ngtb_X1",2020,9401.91574316667
"CO","ngtb_X2",2020,12120.268322
"CO","ngtb_X3",2020,17009.0294688889
"CO","slr_X",2020,8903.92335941667
"CO","wnd_X",2020,8903.96297322222
"CT","bio_X",2020,11761.0242
"CT","col_X1",2020,4621.031671
"CT","col_X3",2020,17635.730556
"CT","hyd_X",2020,8903.96890971429
"CT","msw_X",2020,19230.088092
"CT","ngcc_X1",2020,6408.78810909091
"CT","ngcc_X2",2020,11577.38938
"CT","ngtb_X1",2020,7946.77348068182
"CT","ngtb_X2",2020,11841.1349175
"CT","ngtb_X3",2020,16142.7943966667
"CT","nuc_X",2020,10441.60875
"CT","oth_X",2020,7637.44205526667
"CT","slr_X",2020,8903.68274662857
"CT","stog_X1",2020,0
"CT","wnd_X",2020,8904.134261
"DC","ngtb_X1",2020,10128.28327
"DC","ngtb_X2",2020,11605.435935
"DC","ngtb_X3",2020,25724.68501
"DC","slr_X",2020,8904.1500125
"DE","col_X1",2020,6329.4363855
"DE","col_X3",2020,15599.9074
"DE","ngcc_X1",2020,7660.96111533333
"DE","ngtb_X1",2020,4376.79502725
"DE","ngtb_X2",2020,11333.6052566667
"DE","ngtb_X3",2020,33047.978535
"DE","oth_X",2020,7154.16252233333
"DE","slr_X",2020,8903.9979424
"DE","wnd_X",2020,8903.98482
"FL","bio_X",2020,11142.7195698182
"FL","col_X1",2020,6267.02254225
"FL","col_X2",2020,10930.466473
"FL","col_X3",2020,22365.16706
"FL","hyd_X",2020,8904.056627
"FL","msw_X",2020,20699.0381539231
"FL","ngcc_X1",2020,7339.08881721212
"FL","ngcc_X2",2020,11965.810155
"FL","ngcc_X3",2020,16983.527225
"FL","ngtb_X1",2020,7905.9901502381
"FL","ngtb_X2",2020,11581.2685276923
"FL","ngtb_X3",2020,26592.2242547826
"FL","nuc_X",2020,10444.913765
"FL","oth_X",2020,6576.5914325
"FL","slr_X",2020,8903.93446770312
"GA","bio_X",2020,8004.137419
"GA","col_X1",2020,5649.74259292857
"GA","col_X2",2020,10969.6286833333
"GA","col_X3",2020,16253.3232766667
"GA","hyd_X",2020,8903.95859613793
"GA","msw_X",2020,4649.420566
"GA","ngcc_X1",2020,7041.941778
"GA","ngtb_X1",2020,8693.37469931579
"GA","ngtb_X2",2020,11934.6666723077
"GA","ngtb_X3",2020,89931.5001722222
"GA","nuc_X",2020,10441.608805
"GA","oth_X",2020,9243.147667
"GA","slr_X",2020,8904.03710832812
"GA","stog_X1",2020,0
"IA","bio_X",2020,8235.57460066667
"IA","col_X1",2020,6075.571194
"IA","col_X2",2020,10955.8168025
"IA","col_X3",2020,25868.8614425
"IA","hyd_X",2020,8903.941075
"IA","ngcc_X1",2020,6315.23689475
"IA","ngcc_X3",2020,14913.50098
"IA","ngtb_X1",2020,8874.4401132
"IA","ngtb_X2",2020,11710.391035625
"IA","ngtb_X3",2020,23345.5647715151
"IA","nuc_X",2020,10441.60856
"IA","slr_X",2020,8904.21114271429
"IA","wnd_X",2020,8904.01139784466
"ID","bio_X",2020,5057.70870766667
"ID","col_X1",2020,5755.88358175
"ID","geo_X",2020,8904.009873
"ID","hyd_X",2020,8903.99131993151
"ID","ngcc_X1",2020,7058.3544875
"ID","ngtb_X1",2020,8691.10676309091
"ID","ngtb_X2",2020,11755.96841
"ID","slr_X",2020,8903.993704
"ID","wnd_X",2020,8904.0022390625
"IL","col_X1",2020,6395.262580875
"IL","col_X2",2020,11197.4256264286
"IL","col_X3",2020,13821.87308
"IL","hyd_X",2020,8904.1885745
"IL","msw_X",2020,5792.674705
"IL","ngcc_X1",2020,7085.54661485714
"IL","ngtb_X1",2020,8796.84494454546
"IL","ngtb_X2",2020,11925.4716918519
"IL","ngtb_X3",2020,29353.8055193333
"IL","nuc_X",2020,10441.608835
"IL","oth_X",2020,3606.696367
"IL","slr_X",2020,8904.6826776
"IL","wnd_X",2020,8903.73818971795
"IN","col_X1",2020,5551.31294308333
"IN","col_X2",2020,10945.6318008333
"IN","col_X3",2020,19668.60264
"IN","hyd_X",2020,8904.0152624
"IN","msw_X",2020,6403.539223
"IN","ngcc_X1",2020,7654.41228314286
"IN","ngtb_X1",2020,8106.37184358333
"IN","ngtb_X2",2020,11988.3239625
"IN","ngtb_X3",2020,17540.9684090909
"IN","slr_X",2020,8905.47292179104
"IN","wnd_X",2020,8904.00065846154
"KS","col_X1",2020,6048.78687733333
"KS","col_X2",2020,11259.521484
"KS","col_X3",2020,23083.0974088889
"KS","hyd_X",2020,8904.068774
"KS","ngcc_X1",2020,7358.303331
"KS","ngtb_X1",2020,9145.02513232143
"KS","ngtb_X2",2020,11864.4071741176
"KS","ngtb_X3",2020,20904.7383063636
"KS","nuc_X",2020,10450.2836
"KS","slr_X",2020,8904.1219244
"KS","wnd_X",2020,8904.00254240541
"KY","bio_X",2020,15764.0004025
"KY","col_X1",2020,8410.77497225
"KY","col_X2",2020,11102.3891744444
"KY","col_X3",2020,13220.436685
"KY","hyd_X",2020,8903.9996853
"KY","ngcc_X1",2020,6785.3544975
"KY","ngtb_X1",2020,4096.045224
"KY","ngtb_X2",2020,11998.7423853333
"KY","ngtb_X3",2020,27013.493292
"KY","slr_X",2020,8903.94572966667
"LA","bio_X",2020,7306.84674066667
"LA","col_X1",2020,6021.4812446
"LA","col_X2",2020,11267.64584
"LA","col_X3",2020,12860.2947157143
"LA","hyd_X",2020,8903.999813
"LA","msw_X",2020,4849.904623
"LA","ngcc_X1",2020,7029.99979228571
"LA","ngcc_X3",2020,45787.56384
"LA","ngtb_X1",2020,5958.94512788889
"LA","ngtb_X2",2020,12037.5371166667
"LA","ngtb_X3",2020,155942.38632
"LA","nuc_X",2020,10449.640575
"LA","oth_X",2020,8904.005024
"LA","slr_X",2020,8903.718459
"MA","bio_X",2020,25539.790035
"MA","col_X1",2020,4239.8045813
"MA","col_X2",2020,11705.25764
"MA","col_X3",2020,17690.3893628571
"MA","hyd_X",2020,8903.9697727931
"MA","msw_X",2020,20612.5954433333
"MA","ngcc_X1",2020,8143.1156423125
"MA","ngcc_X2",2020,11382.6353
"MA","ngcc_X3",2020,13247.02608
"MA","ngtb_X1",2020,6763.20479326923
"MA","ngtb_X2",2020,11733.4114428571
"MA","ngtb_X3",2020,20063.6626718182
"MA","nuc_X",2020,10441.6086
"MA","oth_X",2020,6673.469388
"MA","slr_X",2020,8904.08006160856
"MA","wnd_X",2020,8954.48744872727
"MD","bio_X",2020,8861.1918555
"MD","col_X1",2020,4941.5312966
"MD","col_X2",2020,10617.92849
"MD","col_X3",2020,15506.880804
"MD","hyd_X",2020,8903.997491
"MD","msw_X",2020,17716.484875
"MD","ngcc_X1",2020,7429.98996575
"MD","ngcc_X2",2020,12096.48439
"MD","ngtb_X1",2020,9404.1209925
"MD","ngtb_X2",2020,12086.626714
"MD","ngtb_X3",2020,33541.6153261538
"MD","nuc_X",2020,10441.60864
"MD","oth_X",2020,0
"MD","slr_X",2020,8943.7439885
"MD","wnd_X",2020,8904.0071444
"ME","bio_X",2020,11228.8921273636
"ME","col_X1",2020,5637.1001456
"ME","col_X3",2020,26329.2430275
"ME","hyd_X",2020,8904.01754142857
"ME","msw_X",2020,19838.639155
"ME","ngcc_X1",2020,7737.91587266667
"ME","ngtb_X1",2020,6165.07010375
"ME","ngtb_X2",2020,12105.075715
"ME","ngtb_X3",2020,24357.82967
"ME","oth_X",2020,6353.84570933333
"ME","slr_X",2020,8904.366398
"ME","wnd_X",2020,8903.98892505882
"MI","bio_X",2020,11444.8510315455
"MI","col_X1",2020,4549.98675957143
"MI","col_X2",2020,10982.2932907692
"MI","col_X3",2020,25892.0755836364
"MI","hyd_X",2020,8903.89489622222
"MI","msw_X",2020,12376.360454625
"MI","ngcc_X1",2020,6991.48286354545
"MI","ngcc_X3",2020,16102.00901
"MI","ngtb_X1",2020,8386.08472453125
"MI","ngtb_X2",2020,11736.6425142105
"MI","ngtb_X3",2020,24845.3564396667
"MI","nuc_X",2020,10441.60882
"MI","oth_X",2020,8259.419051
"MI","slr_X",2020,8903.90345005882
"MI","wnd_X",2020,8904.01657464
"MN","bio_X",2020,11335.561502375
"MN","col_X1",2020,5559.79053358333
"MN","col_X2",2020,10850.4366733333
"MN","col_X3",2020,25359.23741375
"MN","hyd_X",2020,8903.81073751852
"MN","msw_X",2020,18320.8025454
"MN","ngcc_X1",2020,8017.042871
"MN","ngtb_X1",2020,8696.2170615
"MN","ngtb_X2",2020,12047.7380011765
"MN","ngtb_X3",2020,25265.6081886667
"MN","nuc_X",2020,10441.60895
"MN","oth_X",2020,5809.835037
"MN","slr_X",2020,8900.37011012956
"MN","wnd_X",2020,8904.0315324065
"MO","bio_X",2020,5536.390712
"MO","col_X1",2020,7222.03545366667
"MO","col_X2",2020,10628.2831985714
"MO","col_X3",2020,12815.9996075
"MO","hyd_X",2020,8903.92156166667
"MO","ngcc_X1",2020,7452.1480242
"MO","ngtb_X1",2020,8351.03853607692
"MO","ngtb_X2",2020,11930.7396847368
"MO","ngtb_X3",2020,24394.1069044444
"MO","nuc_X",2020,10449.2907
"MO","oth_X",2020,0
"MO","slr_X",2020,8904.12880388889
"MO","stog_X1",2020,0
"MO","wnd_X",2020,8903.996961875
"MS","bio_X",2020,4978.0170075
"MS","col_X1",2020,4986.8218325
"MS","col_X2",2020,11034.6614
"MS","col_X3",2020,13136.13795
"MS","ngcc_X1",2020,7178.38353618182
"MS","ngcc_X2",2020,11348.3871
"MS","ngcc_X3",2020,21443.93593
"MS","ngtb_X1",2020,7646.83350625
"MS","ngtb_X2",2020,12032.2537375
"MS","ngtb_X3",2020,18229.006025
"MS","nuc_X",2020,10441.60887
"MS","slr_X",2020,8903.91845414286
"MT","bio_X",2020,11594.3714
"MT","col_X1",2020,5519.439598
"MT","col_X2",2020,10960.6375966667
"MT","col_X3",2020,13108.4672233333
"MT","hyd_X",2020,8903.98891156522
"MT","ngtb_X1",2020,9021.82053833333
"MT","ngtb_X2",2020,11944.27641
"MT","ngtb_X3",2020,22920.37286
"MT","slr_X",2020,8904.05851383333
"MT","wnd_X",2020,8904.00798426667
"NC","bio_X",2020,10016.0220025455
"NC","col_X1",2020,6674.13833925
"NC","col_X2",2020,11356.2015266667
"NC","col_X3",2020,13092.0705333333
"NC","hyd_X",2020,8903.97146283784
"NC","msw_X",2020,9849.764997
"NC","ngcc_X1",2020,7547.956738
"NC","ngcc_X3",2020,21676.58445
"NC","ngtb_X1",2020,9321.447552
"NC","ngtb_X2",2020,11628.605398125
"NC","ngtb_X3",2020,21758.9352012
"NC","nuc_X",2020,10441.6087833333
"NC","oth_X",2020,7545.159804
"NC","slr_X",2020,8903.99425542662
"NC","wnd_X",2020,8903.998746
"ND","bio_X",2020,5216.302703
"ND","col_X1",2020,8998.87240433333
"ND","col_X2",2020,11584.321505
"ND","col_X3",2020,13651.241245
"ND","hyd_X",2020,8903.999696
"ND","ngtb_X1",2020,8450.1986255
"ND","ngtb_X3",2020,30448.040595
"ND","wnd_X",2020,8904.00136805714
"NE","col_X1",2020,6327.88855
"NE","col_X2",2020,10752.3929825
"NE","col_X3",2020,24501.0910683333
"NE","hyd_X",2020,8903.6952922
"NE","ngcc_X1",2020,8348.890585
"NE","ngtb_X1",2020,7691.49221684615
"NE","ngtb_X2",2020,12017.110580625
"NE","ngtb_X3",2020,368304.737665556
"NE","nuc_X",2020,10441.60884
"NE","slr_X",2020,8903.40427025
"NE","wnd_X",2020,8904.00698875
"NH","bio_X",2020,15548.3588942857
"NH","col_X1",2020,6261.232164
"NH","col_X2",2020,11373.85168
"NH","col_X3",2020,16125.44511
"NH","hyd_X",2020,8903.93849503125
"NH","msw_X",2020,19912.72871
"NH","ngcc_X1",2020,7462.0109525
"NH","ngtb_X1",2020,6381.33166075
"NH","ngtb_X3",2020,16745.036774
"NH","nuc_X",2020,10441.60869
"NH","wnd_X",2020,8903.9922552
"NJ","col_X1",2020,4882.153907
"NJ","col_X2",2020,10144.41213
"NJ","col_X3",2020,17527.414305
"NJ","hyd_X",2020,8903.99728
"NJ","msw_X",2020,20983.27921
"NJ","ngcc_X1",2020,8116.9715605
"NJ","ngcc_X2",2020,11336.05958
"NJ","ngtb_X1",2020,7702.54938310526
"NJ","ngtb_X2",2020,11874.7106675
"NJ","ngtb_X3",2020,18356.078157
"NJ","nuc_X",2020,10444.8175
"NJ","oth_X",2020,6458.7935765
"NJ","slr_X",2020,8904.01751764706
"NJ","wnd_X",2020,8904.3550515
"NM","col_X1",2020,4817.8168385
"NM","col_X2",2020,10708.6514325
"NM","col_X3",2020,12517.20613
"NM","geo_X",2020,8903.961998
"NM","hyd_X",2020,8903.9755825
"NM","ngcc_X1",2020,7621.68980675
"NM","ngcc_X2",2020,12704.43737
"NM","ngtb_X1",2020,8197.862279
"NM","ngtb_X2",2020,12101.882525
"NM","ngtb_X3",2020,18314.878002
"NM","slr_X",2020,8904.02997748485
"NM","wnd_X",2020,8904.03499686364
"NV","col_X1",2020,8903.991821
"NV","col_X2",2020,11244.2286966667
"NV","col_X3",2020,12549.24393
"NV","geo_X",2020,8903.99608885714
"NV","hyd_X",2020,8903.99793783333
"NV","ngcc_X1",2020,7719.40739016667
"NV","ngtb_X1",2020,8132.451624
"NV","ngtb_X2",2020,12132.3172975
"NV","ngtb_X3",2020,21002.14362
"NV","slr_X",2020,8904.04025317949
"NV","wnd_X",2020,8904.000923
"NY","bio_X",2020,10093.6362473333
"NY","col_X1",2020,6284.13937325
"NY","col_X2",2020,11334.4475628571
"NY","col_X3",2020,19476.6500915385
"NY","hyd_X",2020,8904.00548976875
"NY","msw_X",2020,19154.2706004
"NY","ngcc_X1",2020,8127.98222610526
"NY","ngtb_X1",2020,8728.80976958929
"NY","ngtb_X2",2020,11819.4039979167
"NY","ngtb_X3",2020,106680.63112575
"NY","nuc_X",2020,10441.608792
"NY","oth_X",2020,7081.68352866667
"NY","slr_X",2020,8904.05022867949
"NY","wnd_X",2020,8903.84813203704
"OH","bio_X",2020,4952.224509
"OH","col_X1",2020,6775.21037545455
"OH","col_X2",2020,11109.9335357143
"OH","col_X3",2020,16218.1655575
"OH","hyd_X",2020,8904.08996725
"OH","msw_X",2020,4624.174683
"OH","ngcc_X1",2020,6491.8901013
"OH","ngcc_X3",2020,13451.45621
"OH","ngtb_X1",2020,9234.06316603125
"OH","ngtb_X2",2020,11963.596635
"OH","ngtb_X3",2020,96460.239707931
"OH","nuc_X",2020,10441.608715
"OH","slr_X",2020,8903.86688388462
"OH","wnd_X",2020,8903.90977938889
"OK","bio_X",2020,6868.599313
"OK","col_X1",2020,5519.580778
"OK","col_X2",2020,11325.1469
"OK","col_X3",2020,17169.8137842857
"OK","hyd_X",2020,8904.001051
"OK","msw_X",2020,12945.34807
"OK","ngcc_X1",2020,7819.22238791667
"OK","ngtb_X1",2020,8996.68191890909
"OK","ngtb_X2",2020,11963.83815375
"OK","ngtb_X3",2020,14331.39964
"OK","slr_X",2020,8903.91058357143
"OK","wnd_X",2020,8903.99931340385
"OR","bio_X",2020,9300.28402
"OR","col_X1",2020,4519.6066245
"OR","col_X2",2020,10215.15893
"OR","col_X3",2020,25737.26542
"OR","geo_X",2020,8903.998792
"OR","hyd_X",2020,8904.0052813871
"OR","msw_X",2020,25521.66758
"OR","ngcc_X1",2020,7460.6548563
"OR","ngtb_X1",2020,9145.2768372
"OR","ngtb_X2",2020,11970.5634771429
"OR","ngtb_X3",2020,14489.36062
"OR","slr_X",2020,8903.98882505357
"OR","wnd_X",2020,8904.01126521951
"PA","bio_X",2020,7745.72334166667
"PA","col_X1",2020,5786.0803275
"PA","col_X2",2020,11271.50406375
"PA","col_X3",2020,16204.4480394737
"PA","hyd_X",2020,8904.00959905882
"PA","msw_X",2020,16435.673483
"PA","ngcc_X1",2020,7146.9345425
"PA","ngtb_X1",2020,9054.7802516129
"PA","ngtb_X2",2020,11762.0290052
"PA","ngtb_X3",2020,25101.5518883871
"PA","nuc_X",2020,10441.608776
"PA","oth_X",2020,5578.914532
"PA","slr_X",2020,8976.18079110345
"PA","wnd_X",2020,8904.0017255
"RI","col_X1",2020,5313.245526
"RI","hyd_X",2020,8903.846154
"RI","ngcc_X1",2020,8507.29130857143
"RI","ngtb_X1",2020,7507.260227
"RI","ngtb_X3",2020,351069.27711
"RI","slr_X",2020,8904.11390670588
"RI","wnd_X",2020,8903.92424376471
"SC","bio_X",2020,9754.374299
"SC","col_X1",2020,5877.7716466
"SC","col_X2",2020,10465.2683616667
"SC","col_X3",2020,13924.36254
"SC","hyd_X",2020,8903.96950210345
"SC","msw_X",2020,11052.9209195
"SC","ngcc_X1",2020,7166.30254233333
"SC","ngtb_X1",2020,9360.258069
"SC","ngtb_X2",2020,11716.7061275
"SC","ngtb_X3",2020,148682.951506
"SC","nuc_X",2020,10441.6088
"SC","oth_X",2020,0
"SC","slr_X",2020,8903.66770628814
"SD","col_X2",2020,10708.4914
"SD","hyd_X",2020,8903.880815
"SD","ngcc_X1",2020,7649.429607
"SD","ngtb_X1",2020,9861.2920068
"SD","ngtb_X2",2020,11583.89618
"SD","ngtb_X3",2020,19052.168426
"SD","slr_X",2020,8903.225806
"SD","wnd_X",2020,8904.10267506667
"TN","bio_X",2020,5122.404875
"TN","col_X1",2020,6448.02107566667
"TN","col_X2",2020,11402.854215
"TN","hyd_X",2020,8904.00033546429
"TN","msw_X",2020,5178.5056085
"TN","ngcc_X1",2020,6753.054256
"TN","ngtb_X1",2020,7990.82121255556
"TN","ngtb_X2",2020,11812.6155475
"TN","ngtb_X3",2020,28909.138115
"TN","nuc_X",2020,10449.049445
"TN","oth_X",2020,5139.94802633333
"TN","slr_X",2020,8909.8940954375
"TN","wnd_X",2020,8903.965663
"TX","bio_X",2020,20093.0107441667
"TX","col_X1",2020,5896.88207286667
"TX","col_X2",2020,11094.3172770833
"TX","col_X3",2020,14144.367686
"TX","hyd_X",2020,8904.02624395
"TX","msw_X",2020,5773.820571
"TX","ngcc_X1",2020,7131.00191319118
"TX","ngcc_X2",2020,11687.42183
"TX","ngcc_X3",2020,13498.64806
"TX","ngtb_X1",2020,7710.96397698039
"TX","ngtb_X2",2020,11628.6098433333
"TX","ngtb_X3",2020,23675.5798207143
"TX","nuc_X",2020,10441.60877
"TX","oth_X",2020,8903.9977615
"TX","slr_X",2020,8904.03266859016
"TX","wnd_X",2020,8902.26805779545
"UT","col_X1",2020,9240.21886633333
"UT","col_X2",2020,10327.50127
"UT","col_X3",2020,14854.54163
"UT","geo_X",2020,8903.99434
"UT","hyd_X",2020,8905.12848062069
"UT","ngcc_X1",2020,7848.14334366667
"UT","ngtb_X1",2020,8336.01597966667
"UT","ngtb_X2",2020,11833.8828742857
"UT","ngtb_X3",2020,33586.31816
"UT","oth_X",2020,13209.4388
"UT","slr_X",2020,8904.01750370968
"UT","wnd_X",2020,8904.0321112
"VA","bio_X",2020,11350.3056535
"VA","col_X1",2020,5214.56283971429
"VA","col_X2",2020,11219.99274
"VA","col_X3",2020,24082.5929577778
"VA","hyd_X",2020,8904.27602456522
"VA","msw_X",2020,20144.09064
"VA","ngcc_X1",2020,7470.72534454545
"VA","ngtb_X1",2020,9003.70717828125
"VA","ngtb_X2",2020,11817.2710194737
"VA","ngtb_X3",2020,16094.3419806667
"VA","nuc_X",2020,10441.608775
"VA","oth_X",2020,4075.066487
"VA","slr_X",2020,8903.99387838462
"VT","bio_X",2020,11174.1209013333
