"state","load_segment","Value"
"CT","sum_day",1610
"MA","sum_day",1610
"ME","sum_day",1610
"NH","sum_day",1610
"RI","sum_day",1610
"VT","sum_day",1610
"CT","sum_mrnevn",1209
"MA","sum_mrnevn",1209
"ME","sum_mrnevn",1209
"NH","sum_mrnevn",1209
"RI","sum_mrnevn",1209
"VT","sum_mrnevn",1209
"CT","sum_night",765
"MA","sum_night",765
"ME","sum_night",765
"NH","sum_night",765
"RI","sum_night",765
"VT","sum_night",765
"CT","sprfl_day",728
"MA","sprfl_day",728
"ME","sprfl_day",728
"NH","sprfl_day",728
"RI","sprfl_day",728
"VT","sprfl_day",728
"CT","sprfl_mrnevn",1001
"MA","sprfl_mrnevn",1001
"ME","sprfl_mrnevn",1001
"NH","sprfl_mrnevn",1001
"RI","sprfl_mrnevn",1001
"VT","sprfl_mrnevn",1001
"CT","sprfl_night",455
"MA","sprfl_night",455
"ME","sprfl_night",455
"NH","sprfl_night",455
"RI","sprfl_night",455
"VT","sprfl_night",455
"CT","wntr_day",968
"MA","wntr_day",968
"ME","wntr_day",968
"NH","wntr_day",968
"RI","wntr_day",968
"VT","wntr_day",968
"CT","wntr_mrnevn",1331
"MA","wntr_mrnevn",1331
"ME","wntr_mrnevn",1331
"NH","wntr_mrnevn",1331
"RI","wntr_mrnevn",1331
"VT","wntr_mrnevn",1331
"CT","wntr_night",605
"MA","wntr_night",605
"ME","wntr_night",605
"NH","wntr_night",605
"RI","wntr_night",605
"VT","wntr_night",605
"CT","peak",88
"MA","peak",88
"ME","peak",88
"NH","peak",88
"RI","peak",88
"VT","peak",88
"NY","sum_day",1610
"NY","sum_mrnevn",1209
"NY","sum_night",765
"NY","sprfl_day",728
"NY","sprfl_mrnevn",1001
"NY","sprfl_night",455
"NY","wntr_day",968
"NY","wntr_mrnevn",1331
"NY","wntr_night",605
"NY","peak",88
"NJ","sum_day",1615
"PA","sum_day",1615
"NJ","sum_mrnevn",1204
"PA","sum_mrnevn",1204
"NJ","sum_night",765
"PA","sum_night",765
"NJ","sprfl_day",728
"PA","sprfl_day",728
"NJ","sprfl_mrnevn",1001
"PA","sprfl_mrnevn",1001
"NJ","sprfl_night",455
"PA","sprfl_night",455
"NJ","wntr_day",968
"PA","wntr_day",968
"NJ","wntr_mrnevn",1331
"PA","wntr_mrnevn",1331
"NJ","wntr_night",605
"PA","wntr_night",605
"NJ","peak",88
"PA","peak",88
"IL","sum_day",1606
"IN","sum_day",1606
"MI","sum_day",1606
"OH","sum_day",1606
"WI","sum_day",1606
"IL","sum_mrnevn",1213
"IN","sum_mrnevn",1213
"MI","sum_mrnevn",1213
"OH","sum_mrnevn",1213
"WI","sum_mrnevn",1213
"IL","sum_night",765
"IN","sum_night",765
"MI","sum_night",765
"OH","sum_night",765
"WI","sum_night",765
"IL","sprfl_day",728
"IN","sprfl_day",728
"MI","sprfl_day",728
"OH","sprfl_day",728
"WI","sprfl_day",728
"IL","sprfl_mrnevn",1001
"IN","sprfl_mrnevn",1001
"MI","sprfl_mrnevn",1001
"OH","sprfl_mrnevn",1001
"WI","sprfl_mrnevn",1001
"IL","sprfl_night",455
"IN","sprfl_night",455
"MI","sprfl_night",455
"OH","sprfl_night",455
"WI","sprfl_night",455
"IL","wntr_day",968
"IN","wntr_day",968
"MI","wntr_day",968
"OH","wntr_day",968
"WI","wntr_day",968
"IL","wntr_mrnevn",1331
"IN","wntr_mrnevn",1331
"MI","wntr_mrnevn",1331
"OH","wntr_mrnevn",1331
"WI","wntr_mrnevn",1331
"IL","wntr_night",605
"IN","wntr_night",605
"MI","wntr_night",605
"OH","wntr_night",605
"WI","wntr_night",605
"IL","peak",88
"IN","peak",88
"MI","peak",88
"OH","peak",88
"WI","peak",88
"IA","sum_day",1605
"KS","sum_day",1605
"MN","sum_day",1605
"MO","sum_day",1605
"ND","sum_day",1605
"NE","sum_day",1605
"SD","sum_day",1605
"IA","sum_mrnevn",1214
"KS","sum_mrnevn",1214
"MN","sum_mrnevn",1214
"MO","sum_mrnevn",1214
"ND","sum_mrnevn",1214
"NE","sum_mrnevn",1214
"SD","sum_mrnevn",1214
"IA","sum_night",765
"KS","sum_night",765
"MN","sum_night",765
"MO","sum_night",765
"ND","sum_night",765
"NE","sum_night",765
"SD","sum_night",765
"IA","sprfl_day",728
"KS","sprfl_day",728
"MN","sprfl_day",728
"MO","sprfl_day",728
"ND","sprfl_day",728
"NE","sprfl_day",728
"SD","sprfl_day",728
"IA","sprfl_mrnevn",1001
"KS","sprfl_mrnevn",1001
"MN","sprfl_mrnevn",1001
"MO","sprfl_mrnevn",1001
"ND","sprfl_mrnevn",1001
"NE","sprfl_mrnevn",1001
"SD","sprfl_mrnevn",1001
"IA","sprfl_night",455
"KS","sprfl_night",455
"MN","sprfl_night",455
"MO","sprfl_night",455
"ND","sprfl_night",455
"NE","sprfl_night",455
"SD","sprfl_night",455
"IA","wntr_day",968
"KS","wntr_day",968
"MN","wntr_day",968
"MO","wntr_day",968
"ND","wntr_day",968
"NE","wntr_day",968
"SD","wntr_day",968
"IA","wntr_mrnevn",1331
"KS","wntr_mrnevn",1331
"MN","wntr_mrnevn",1331
"MO","wntr_mrnevn",1331
"ND","wntr_mrnevn",1331
"NE","wntr_mrnevn",1331
"SD","wntr_mrnevn",1331
"IA","wntr_night",605
"KS","wntr_night",605
"MN","wntr_night",605
"MO","wntr_night",605
"ND","wntr_night",605
"NE","wntr_night",605
"SD","wntr_night",605
"IA","peak",88
"KS","peak",88
"MN","peak",88
"MO","peak",88
"ND","peak",88
"NE","peak",88
"SD","peak",88
"FL","sum_day",1600
"FL","sum_mrnevn",1219
"FL","sum_night",765
"FL","sprfl_day",728
"FL","sprfl_mrnevn",1001
"FL","sprfl_night",455
"FL","wntr_day",968
"FL","wntr_mrnevn",1331
"FL","wntr_night",605
"FL","peak",88
"DC","sum_day",1610
"DE","sum_day",1610
"GA","sum_day",1610
"MD","sum_day",1610
"NC","sum_day",1610
"SC","sum_day",1610
"VA","sum_day",1610
"WV","sum_day",1610
"DC","sum_mrnevn",1209
"DE","sum_mrnevn",1209
"GA","sum_mrnevn",1209
"MD","sum_mrnevn",1209
"NC","sum_mrnevn",1209
"SC","sum_mrnevn",1209
"VA","sum_mrnevn",1209
"WV","sum_mrnevn",1209
"DC","sum_night",765
"DE","sum_night",765
"GA","sum_night",765
"MD","sum_night",765
"NC","sum_night",765
"SC","sum_night",765
"VA","sum_night",765
"WV","sum_night",765
"DC","sprfl_day",728
"DE","sprfl_day",728
"GA","sprfl_day",728
"MD","sprfl_day",728
"NC","sprfl_day",728
"SC","sprfl_day",728
"VA","sprfl_day",728
"WV","sprfl_day",728
"DC","sprfl_mrnevn",1001
"DE","sprfl_mrnevn",1001
"GA","sprfl_mrnevn",1001
"MD","sprfl_mrnevn",1001
"NC","sprfl_mrnevn",1001
"SC","sprfl_mrnevn",1001
"VA","sprfl_mrnevn",1001
"WV","sprfl_mrnevn",1001
"DC","sprfl_night",455
"DE","sprfl_night",455
"GA","sprfl_night",455
"MD","sprfl_night",455
"NC","sprfl_night",455
"SC","sprfl_night",455
"VA","sprfl_night",455
"WV","sprfl_night",455
"DC","wntr_day",968
"DE","wntr_day",968
"GA","wntr_day",968
"MD","wntr_day",968
"NC","wntr_day",968
"SC","wntr_day",968
"VA","wntr_day",968
"WV","wntr_day",968
"DC","wntr_mrnevn",1331
"DE","wntr_mrnevn",1331
"GA","wntr_mrnevn",1331
"MD","wntr_mrnevn",1331
"NC","wntr_mrnevn",1331
"SC","wntr_mrnevn",1331
"VA","wntr_mrnevn",1331
"WV","wntr_mrnevn",1331
"DC","wntr_night",605
"DE","wntr_night",605
"GA","wntr_night",605
"MD","wntr_night",605
"NC","wntr_night",605
"SC","wntr_night",605
"VA","wntr_night",605
"WV","wntr_night",605
"DC","peak",88
"DE","peak",88
"GA","peak",88
"MD","peak",88
"NC","peak",88
"SC","peak",88
"VA","peak",88
"WV","peak",88
"AL","sum_day",1607
"KY","sum_day",1607
"MS","sum_day",1607
"TN","sum_day",1607
"AL","sum_mrnevn",1212
"KY","sum_mrnevn",1212
"MS","sum_mrnevn",1212
"TN","sum_mrnevn",1212
"AL","sum_night",765
"KY","sum_night",765
"MS","sum_night",765
"TN","sum_night",765
"AL","sprfl_day",728
"KY","sprfl_day",728
"MS","sprfl_day",728
"TN","sprfl_day",728
"AL","sprfl_mrnevn",1001
"KY","sprfl_mrnevn",1001
"MS","sprfl_mrnevn",1001
"TN","sprfl_mrnevn",1001
"AL","sprfl_night",455
"KY","sprfl_night",455
"MS","sprfl_night",455
"TN","sprfl_night",455
"AL","wntr_day",968
"KY","wntr_day",968
"MS","wntr_day",968
"TN","wntr_day",968
"AL","wntr_mrnevn",1331
"KY","wntr_mrnevn",1331
"MS","wntr_mrnevn",1331
"TN","wntr_mrnevn",1331
"AL","wntr_night",605
"KY","wntr_night",605
"MS","wntr_night",605
"TN","wntr_night",605
"AL","peak",88
"KY","peak",88
"MS","peak",88
"TN","peak",88
"TX","sum_day",1599
"TX","sum_mrnevn",1220
"TX","sum_night",765
"TX","sprfl_day",728
"TX","sprfl_mrnevn",1001
"TX","sprfl_night",455
"TX","wntr_day",968
"TX","wntr_mrnevn",1331
"TX","wntr_night",605
"TX","peak",88
"AR","sum_day",1616
"LA","sum_day",1616
"OK","sum_day",1616
"AR","sum_mrnevn",1203
"LA","sum_mrnevn",1203
"OK","sum_mrnevn",1203
"AR","sum_night",765
"LA","sum_night",765
"OK","sum_night",765
"AR","sprfl_day",728
"LA","sprfl_day",728
"OK","sprfl_day",728
"AR","sprfl_mrnevn",1001
"LA","sprfl_mrnevn",1001
"OK","sprfl_mrnevn",1001
"AR","sprfl_night",455
"LA","sprfl_night",455
"OK","sprfl_night",455
"AR","wntr_day",968
"LA","wntr_day",968
"OK","wntr_day",968
"AR","wntr_mrnevn",1331
"LA","wntr_mrnevn",1331
"OK","wntr_mrnevn",1331
"AR","wntr_night",605
"LA","wntr_night",605
"OK","wntr_night",605
"AR","peak",88
"LA","peak",88
"OK","peak",88
"AZ","sum_day",1597
"CO","sum_day",1597
"ID","sum_day",1597
"MT","sum_day",1597
"NM","sum_day",1597
"NV","sum_day",1597
"UT","sum_day",1597
"WY","sum_day",1597
"AZ","sum_mrnevn",1222
"CO","sum_mrnevn",1222
"ID","sum_mrnevn",1222
"MT","sum_mrnevn",1222
"NM","sum_mrnevn",1222
"NV","sum_mrnevn",1222
"UT","sum_mrnevn",1222
"WY","sum_mrnevn",1222
"AZ","sum_night",765
"CO","sum_night",765
"ID","sum_night",765
"MT","sum_night",765
"NM","sum_night",765
"NV","sum_night",765
"UT","sum_night",765
"WY","sum_night",765
"AZ","sprfl_day",728
"CO","sprfl_day",728
"ID","sprfl_day",728
"MT","sprfl_day",728
"NM","sprfl_day",728
"NV","sprfl_day",728
"UT","sprfl_day",728
"WY","sprfl_day",728
"AZ","sprfl_mrnevn",1001
"CO","sprfl_mrnevn",1001
"ID","sprfl_mrnevn",1001
"MT","sprfl_mrnevn",1001
"NM","sprfl_mrnevn",1001
"NV","sprfl_mrnevn",1001
"UT","sprfl_mrnevn",1001
"WY","sprfl_mrnevn",1001
"AZ","sprfl_night",455
"CO","sprfl_night",455
"ID","sprfl_night",455
"MT","sprfl_night",455
"NM","sprfl_night",455
"NV","sprfl_night",455
"UT","sprfl_night",455
"WY","sprfl_night",455
"AZ","wntr_day",968
"CO","wntr_day",968
"ID","wntr_day",968
"MT","wntr_day",968
"NM","wntr_day",968
"NV","wntr_day",968
"UT","wntr_day",968
"WY","wntr_day",968
"AZ","wntr_mrnevn",1331
"CO","wntr_mrnevn",1331
"ID","wntr_mrnevn",1331
"MT","wntr_mrnevn",1331
"NM","wntr_mrnevn",1331
"NV","wntr_mrnevn",1331
"UT","wntr_mrnevn",1331
"WY","wntr_mrnevn",1331
"AZ","wntr_night",605
"CO","wntr_night",605
"ID","wntr_night",605
"MT","wntr_night",605
"NM","wntr_night",605
"NV","wntr_night",605
"UT","wntr_night",605
"WY","wntr_night",605
"AZ","peak",88
"CO","peak",88
"ID","peak",88
"MT","peak",88
"NM","peak",88
"NV","peak",88
"UT","peak",88
"WY","peak",88
"CA","sum_day",1596
"CA","sum_mrnevn",1223
"CA","sum_night",765
"CA","sprfl_day",728
"CA","sprfl_mrnevn",1001
"CA","sprfl_night",455
"CA","wntr_day",968
"CA","wntr_mrnevn",1331
"CA","wntr_night",605
"CA","peak",88
"OR","sum_day",1683
"WA","sum_day",1683
"OR","sum_mrnevn",1224
"WA","sum_mrnevn",1224
"OR","sum_night",765
"WA","sum_night",765
"OR","sprfl_day",728
"WA","sprfl_day",728
"OR","sprfl_mrnevn",999
"WA","sprfl_mrnevn",999
"OR","sprfl_night",455
"WA","sprfl_night",455
"OR","wntr_day",947
"WA","wntr_day",947
"OR","wntr_mrnevn",1266
"WA","wntr_mrnevn",1266
"OR","wntr_night",605
"WA","wntr_night",605
"OR","peak",88
"WA","peak",88
